ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,RegistryURL,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description
Microsoft.Insights,privateLinkScopeOperationStatuses,Azure Monitor Private Link Scopes,avm-res-insights-privatelinkscopeoperationstatus,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/privatelinkscopeoperationstatus,,46d3xbcp.res.insights-privatelinkscopeopstatus,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-insights-privatelinkscopeoperationstatus-module-owners-bicep,@azure/avm-res-insights-privatelinkscopeoperationstatus-module-contributors-bicep,
Microsoft.Insights,scheduledQueryRules,Scheduled Query Rules,avm-res-insights-scheduledqueryrule,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/scheduledqueryrule,,46d3xbcp.res.insights-scheduledqueryrule,,,@azure/avm-res-insights-scheduledqueryrule-module-owners-bicep,@azure/avm-res-insights-scheduledqueryrule-module-contributors-bicep,
Microsoft.Insights,webtests,Web Tests,avm-res-insights-webtest,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/insights/webtest,,46d3xbcp.res.insights-webtest,,,@azure/avm-res-insights-webtest-module-owners-bicep,@azure/avm-res-insights-webtest-module-contributors-bicep,
Microsoft.KeyVault,vaults,Key Vaults,avm-res-keyvault-vault,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/keyvault/vault,,46d3xbcp.res.keyvault-vault,fblix,Felix Borst,@azure/avm-res-keyvault-vault-module-owners-bicep,@azure/avm-res-keyvault-vault-module-contributors-bicep,
Microsoft.KubernetesConfiguration,extensions,Kubernetes Configuration Extensions,avm-res-kubernetesconfiguration-extension,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/kubernetesconfiguration/extension,,46d3xbcp.res.kubernetesconfiguration-extension,,,@azure/avm-res-kubernetesconfiguration-extension-module-owners-bicep,@azure/avm-res-kubernetesconfiguration-extension-module-contributors-bicep,
Microsoft.KubernetesConfiguration,fluxConfigurations,Kubernetes Configuration Flux Configurations,avm-res-kubernetesconfiguration-fluxconfiguration,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/kubernetesconfiguration/fluxconfiguration,,46d3xbcp.res.kubernetesconfiguration-fluxconfig,,,@azure/avm-res-kubernetesconfiguration-fluxconfiguration-module-owners-bicep,@azure/avm-res-kubernetesconfiguration-fluxconfiguration-module-contributors-bicep,
Microsoft.Logic,workflows,Logic Apps (Workflows),avm-res-logic-workflow,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/logic/workflow,,46d3xbcp.res.logic-workflow,,,@azure/avm-res-logic-workflow-module-owners-bicep,@azure/avm-res-logic-workflow-module-contributors-bicep,
Microsoft.MachineLearningServices,workspaces,Machine Learning Services Workspaces,avm-res-machinelearningservices-workspace,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/machinelearningservices/workspace,,46d3xbcp.res.machinelearningservices-workspace,,,@azure/avm-res-machinelearningservices-workspace-module-owners-bicep,@azure/avm-res-machinelearningservices-workspace-module-contributors-bicep,
Microsoft.Maintenance,maintenanceConfigurations,Maintenance Configurations,avm-res-maintenance-maintenanceconfiguration,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/maintenance/maintenanceconfiguration,,46d3xbcp.res.maintenance-maintenanceconfiguration,,,@azure/avm-res-maintenance-maintenanceconfiguration-module-owners-bicep,@azure/avm-res-maintenance-maintenanceconfiguration-module-contributors-bicep,
Microsoft.ManagedIdentity,userAssignedIdentities,User Assigned Identities,avm-res-managedidentity-userassignedidentity,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/managedidentity/userassignedidentity,,46d3xbcp.res.managedidentity-userassignedidentity,segraef,Sebastian Graef,@azure/avm-res-managedidentity-userassignedidentity-module-owners-bicep,@azure/avm-res-managedidentity-userassignedidentity-module-contributors-bicep,
Microsoft.ManagedServices,registrationDefinitions,Registration Definitions,avm-res-managedservices-registrationdefinition,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/managedservices/registrationdefinition,,46d3xbcp.res.managedservices-registrationdef,,,@azure/avm-res-managedservices-registrationdefinition-module-owners-bicep,@azure/avm-res-managedservices-registrationdefinition-module-contributors-bicep,
Microsoft.Management,managementGroups,Management Groups,avm-res-management-managementgroup,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/management/managementgroup,,46d3xbcp.res.management-managementgroup,fblix,Felix Borst,@azure/avm-res-management-managementgroup-module-owners-bicep,@azure/avm-res-management-managementgroup-module-contributors-bicep,
Microsoft.NetApp,netAppAccounts,Azure NetApp Files,avm-res-netapp-netappaccount,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/netapp/netappaccount,,46d3xbcp.res.netapp-netappaccount,,,@azure/avm-res-netapp-netappaccount-module-owners-bicep,@azure/avm-res-netapp-netappaccount-module-contributors-bicep,
Microsoft.Network,applicationGatewayAvailableRequestHeaders,Network Application Gateways,avm-res-network-applicationgatewayavailablerequestheader,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/network/applicationgatewayavailablerequestheader,,46d3xbcp.res.network-appgwavailablerequestheader,,,@azure/avm-res-network-applicationgatewayavailablerequestheader-module-owners-bicep,@azure/avm-res-network-applicationgatewayavailablerequestheader-module-contributors-bicep,
